#         data          uncert
        4.8714         1.73205
       2.30488         1.66213
      0.869303         1.59234
      0.695762         1.52271
       2.37064         1.45325
       2.18327         1.38399
    -0.0208798         1.31496
       2.08441          1.2462
      0.842516         1.17775
    -0.0680602         1.10969
      0.404539         1.04207
      0.806228        0.974996
       2.11314        0.908586
     -0.359051        0.842996
     -0.299828        0.778433
      0.713812        0.715177
     -0.281572        0.653606
     -0.698532        0.594245
    -0.0241908        0.537825
      0.908686        0.485374
      0.461436        0.438319
      0.319491        0.398574
        0.3743        0.368514
    -0.0455219        0.350637
    -0.0105584        0.346834
       0.33723        0.357553
      0.579681        0.381572
     -0.148319        0.416598
      0.040252        0.460123
      0.412288        0.509976
      0.879432        0.564483
      0.399772        0.622422
     0.0675683        0.682921
      0.769594        0.745356
       1.26962        0.809279
       2.15575        0.874365
     -0.244188        0.940371
       2.44057         1.00712
       1.79763         1.07446
     0.0947002         1.14231
       1.25649         1.21056
      -0.43559         1.27916
        2.1073         1.34806
      0.371106          1.4172
       3.57545         1.48657
     0.0823029         1.55611
       4.36741         1.62582
       1.24551         1.69568
       2.52763         1.76566
       5.33837         1.83575
       3.55686         1.90594
       7.81734         1.97621
       3.77251         2.04657
       3.17374           2.117
      0.530389         2.18749
       5.04256         2.25804
       8.10836         2.32865
       10.3705          2.3993
       4.06539            2.47
       8.39225         2.54074
       8.62081         2.61152
       4.91533         2.68233
       12.9659         2.75317
       6.19609         2.82404
       8.84243         2.89494
       9.82515         2.96586
       8.17614         3.03681
       10.2866         3.10778
       10.5706         3.17877
       11.0116         3.24978
       7.99154         3.32081
       10.2954         3.39185
       12.5883         3.46291
        14.683         3.53398
       7.30764         3.60507
       12.3192         3.67617
       13.4215         3.74728
       15.8215         3.81841
        17.647         3.88954
       23.5324         3.96069
       15.3219         4.03185
       16.6475         4.10301
       21.9691         4.17419
       14.1717         4.24537
       24.5276         4.31656
       14.3554         4.38776
       20.7732         4.45896
       21.9408         4.53018
       9.55646          4.6014
       29.2656         4.67262
       19.8408         4.74385
       16.6133         4.81509
       26.1026         4.88633
       29.0547         4.95758
       23.7633         5.02883
        24.204         5.10009
       31.8255         5.17135
        25.358         5.24262
       14.7957         5.31389
       18.0529         5.38516
